CGHubAnalysisID,AliquotBarcode,Aliquot_id,Disease
6101cf90-16cc-4603-89de-b04fe37009ab,TCGA-AR-A5QM-01A-11R-A27Q-07,6bbb74ed-93be-4cbe-a854-4ea6aaec0615,BRCA
41a5b666-fbaf-4080-b6ab-2ea3efcf5341,TCGA-E9-A5FL-01A-11R-A27Q-07,7810122d-fa8b-483d-9398-aa26fc7fedc5,BRCA
e5bcf0a8-2d8b-4213-8b84-cbb4dc5ca23f,TCGA-BH-A5J0-01A-11R-A27Q-07,a5f14d53-fe35-494e-b6b1-bc5c8484e4a9,BRCA
eb1f703b-6bd1-4415-a9b7-af8c83d88593,TCGA-E9-A5UO-01A-11R-A28M-07,4d601c2f-824f-461e-9270-42db0ab9138e,BRCA
13135c3f-269e-4729-9e1e-5ecadb2d852d,TCGA-AC-A5XU-01A-11R-A28M-07,f48e8432-bcb7-4aa9-9c8f-6de4a96179b2,BRCA
72e27d30-7c14-4d2d-98dd-7208e9cd3f20,TCGA-AC-A5EH-01A-11R-A28M-07,eb9b8bcb-aa3a-4e57-9479-543b53dc1cf7,BRCA
79d0c682-52c1-4c35-8dd4-5d465061592c,TCGA-E9-A5UP-01A-11R-A28M-07,0a9af348-b2a7-4fad-b939-7eda53e4f5a0,BRCA
19f61454-464e-48de-af60-91aa95a66249,TCGA-AR-A5QQ-01A-11R-A28M-07,16f90247-c9a5-40d5-a3a1-08bba2d1d266,BRCA
677f834c-eed2-4904-9388-67af338a3716,TCGA-AR-A5QN-01A-12R-A28M-07,76353751-a05c-432e-a35b-12f2bf62a494,BRCA
4b54cc48-6d82-48c9-b349-df5f1acd93ea,TCGA-AR-A5QP-01A-11R-A28M-07,b2d0c724-40ae-44ca-90eb-ce86a9546c05,BRCA
3e95d819-1d9f-43f7-bcfb-88841ecac315,TCGA-GM-A5PV-01A-11R-A28M-07,96c1cfef-0507-46f5-a007-d0f7369cced5,BRCA
